User screen name,Tweet text,Tweet sentiment,Tweet subjectivity
Geolecos,"RT Jelecos ""Ebook: https://t.co/72QpmIUo0S #AWS #CloudComputing #Cloud #Windows #Microsoft #Security https://t.co/hj2OiUAWjT""",0.0,0.0
CloudianStorage,"Get cloud-like file sharing, with the security of on-prem storage. #Cloudian and @SMEStorage combine an on-premises… https://t.co/syLq5vuFye",0.0,0.0
WEI_com,"In this article, learn how three organizations managed their cloud security needs with @Fortinet solutions, includi… https://t.co/mSIIIoo8HA",0.0,0.0
Forte_Cloud,"We cherish the fact of having the best in the -market team of AWS expert professionals certified consultants, and I… https://t.co/nqQE4JP2Iu",1.0,0.3
nicknamenicnic,RT @NWDCScoop: New Billionaire: Todd McKinnon’s Cloud Security Company Is Booming As More Americans Work From Home https://t.co/qLfLJA1lVH,0.3181818181818182,0.4772727272727273
WellstoneTech,"cloud computing has revamped the business and technological landscapes. To say, in simple words, cloud computing is… https://t.co/Clg6vfIQLd",0.0,0.35714285714285715
mohapsat,RT @ForbesTech: New Billionaire: Todd McKinnon's cloud security company is booming as more Americans work from home https://t.co/G93yYzfrZv…,0.3181818181818182,0.4772727272727273
TechSpective,"Cloud technology great for security but poses systemic risks, according to new report https://t.co/WnnxcUE4bw https://t.co/Pw5jzGRIuB",0.4681818181818182,0.6022727272727273
ConceroCloud,"Concero offers a comprehensive portfolio of cloud services engineered to deliver enterprise-class security, reliabi… https://t.co/oWS8RhIDcU",0.1,0.0
Kaspersky_DACH,"Schatten-IT kann zu Datenlecks, dem Verstoß gegen gesetzliche Bestimmungen und zur Verschwendung von Ausgaben führe… https://t.co/XthxxRo22t",0.0,0.0
virtualDCS,"Did you know the average cost of a Ransomware attack on businesses is £103,00? Speak to the team today to see how w… https://t.co/5m9TrPUi42",-0.15,0.39999999999999997
tommscs,ISACA members: download your free #Azure Audit Program to securely support operational and compliance objectives -… https://t.co/QyaPdVnIRT,0.4,0.7
ccarter1969,Cloud Security: A Primer for Policymakers | https://t.co/SdIpJHa7s2 via @CarnegieEndow #Bigdata #infosec #cybersecurity,0.0,0.0
NWDCScoop,New Billionaire: Todd McKinnon’s Cloud Security Company Is Booming As More Americans Work From Home https://t.co/qLfLJA1lVH,0.3181818181818182,0.4772727272727273
MikeNelson,RT @CEIPTechProgram: A VERY useful (and timely) guide to security for the Cloud (by @maurertim and @GarrettHinck: https://t.co/aKXvQxNyYS @…,0.39,0.0
BexelInitiative,RT @ForbesTech: New Billionaire: Todd McKinnon's cloud security company is booming as more Americans work from home https://t.co/G93yYzfrZv…,0.3181818181818182,0.4772727272727273
GPerdikaris,RT @ForbesTech: New Billionaire: Todd McKinnon's cloud security company is booming as more Americans work from home https://t.co/G93yYzfrZv…,0.3181818181818182,0.4772727272727273
bigkyle1023,Ebook: https://t.co/czMWdTU2NI #AWS #CloudComputing #Cloud #Windows #Microsoft #Security https://t.co/wur3ciyi1z,0.0,0.0
TrendMicro,We came across a threat that uses a malicious #container image to install dependencies and clone the source code of… https://t.co/4KqaIPsuuB,0.0,0.0
ForbesTech,New Billionaire: Todd McKinnon's cloud security company is booming as more Americans work from home https://t.co/G93yYzfrZv by @noah_kirsch,0.3181818181818182,0.4772727272727273
ShardSecure,"#Databreach figures document how traditional security practices have failed to keep pace with #cloud adoption.

A r… https://t.co/7fXC8P0uHP",-0.25,0.525
ArthusuxD,RT @detox_tech: Our Security Analyst @harshbothra_  show you how one can deploy a Cloud-Based Pentesting VM with all necessary tools &amp; show…,0.0,1.0
gordon_jas,"RT @LindsayRankin7: Preventing S3 bucket Leaks with 5 Best Practices for AWS Cloud Security
https://t.co/gGbBGsv0bX
#cloudsecurity #AWS",1.0,0.3
Jelecos,Ebook: https://t.co/vOAaJsNUmS #AWS #CloudComputing #Cloud #Windows #Microsoft #Security https://t.co/VtAtmEkf0u,0.0,0.0
LauraLMagnuson,"RT @maurertim: THREAD: In our new @CarnegieEndow @CarnegieCyber paper “Cloud Security: A Primer for Policymakers”, @garretthinck and I expl…",0.13636363636363635,0.45454545454545453
gordon_jas,"RT @LindsayRankin7: Cloud-Native as the future of Data Loss Prevention
https://t.co/eZNQrPh7Sd
#cloudnative #dataprivacy #DataSecurity via…",0.0,0.125
lucasoft_co_uk,RT @rbadlaney How IBM is building the secure cloud platform for financial services https://t.co/khLw0XKHHF via… https://t.co/47NPusukTy,0.2,0.3
DeCloak_Co,"DeClaok will Exhibit in InnoVEX 2020

Privacy Processing Unit (PPU) 1. Our Hardware provides superior security and… https://t.co/sFgnhwW53m",0.7,0.9
2ndSightLab,Cloud Security for Developers: Part 2 ~ Do you really need a security team? | by Teri Radichel for @acloudguru… https://t.co/SJW16QReav,0.2,0.2
kvelraj2060,"RT @IBMDeveloper: Watch the free, on-demand developer conference for cloud native security. 3 tracks on application security, data security…",0.4,0.8
geekg1r1,RT @TeriRadichel: Cloud Security for Developers: Part 2 ~ Do you really need a security team? | by Teri Radichel for ⁦@acloudguru⁩  https:/…,0.2,0.2
gilliamjo,It may sound like a new brand of yoga pants but #SASE is the convergence of #networking and #cybersecurity at the p… https://t.co/eS8nwFvO8U,0.2681818181818182,0.42727272727272725
KalemaChris,"RT @cybertuff: 🃏 #MemeMonday! I hope everyone feels like they're walking on clouds this week!

My opinion on the cloud, in a meme.

#cybers…",0.0,0.0
SinglePoint_MSP,The current business requirement mandates a heightened level of #cybersecurity. Learn how you can leverage… https://t.co/sxY8nCW1El,0.0,0.4
ajclarke,"How to Control Security Costs During a Down Economy https://t.co/vuIH7DBW11 by Robert Meyers (@RobTheADGuy), Compli… https://t.co/ijOTedZPqS",-0.15555555555555559,0.2888888888888889
TeriRadichel,RT @TeriRadichel: Cloud Security for Developers: Part 2 ~ Do you really need a security team? | by Teri Radichel for ⁦@acloudguru⁩  https:/…,0.2,0.2
my_ARG,"SD-WAN for #WFH: instead of taking users to the data center to access the security stack, then sending the traffic… https://t.co/uPUad4D2bB",-0.1,0.1
rohit11,Pre-infected docker images uploaded on DockerHub with smart cryptominers that avoid detection. Attackers made huge… https://t.co/ig1nDqnI09,0.21428571428571427,0.6428571428571429
sjvn,"RT @TechJournalist: Google Updates Anthos Hybrid Cloud's Access, Security https://t.co/jpU8VFziz3",0.0,0.0
MayZabala3,"RT @LindsayRankin7: Cloud-Native as the future of Data Loss Prevention
https://t.co/eZNQrPh7Sd
#cloudnative #dataprivacy #DataSecurity via…",0.0,0.125
toolboxsecurity,"Sivan Krigsman, Chief Product Officer &amp; Co-founder of @ErmeticSec, shares why the least privilege principle can red… https://t.co/F6Njt0fwrR",-0.3,0.4
maryakiemoha,RT @CiscoUmbrella: Security is moving to the cloud. New @Gartner_inc #SASE report — how to reduce the complexity:  https://t.co/XFTCIJwKWC,0.13636363636363635,0.45454545454545453
Deevan97484735,RT @IBMcloud: Need a cloud that doesn't compromise on security and scalability? Let IBM help you migrate your workloads to the cloud today.,0.0,0.0
The_Cloud_CTO,"#GoogleCloud #Security
Before anything else, secure your admin account!
#TheCloudCTO https://t.co/t0JqCSfC3Y",0.5,0.6
cybe_rpunkfixer,"RT @DataShadow: Cloud technology great for security but poses systemic risks, according to new report https://t.co/wvha1f5EFF #DataPrivacy…",0.4681818181818182,0.6022727272727273
wasabi_cloud,.@AltaroSoftware &amp; #Wasabi have teamed up for a webinar featuring @jeanmichelcarre &amp; Carsten Haak on migrating to t… https://t.co/ZybI0ZVE9p,0.0,0.0
jim_glackin,It may sound like a new brand of yoga pants but #SASE is the convergence of #networking and #cybersecurity at the p… https://t.co/NSEkRTjx5U,0.2681818181818182,0.42727272727272725
atjasonmoore,"RT @CiscoUmbrella: 🎉 🎉 🎉  Introducing Cisco’s Secure Access Service Edge (#SASE) for Dummies: https://t.co/86o8JThy4H
Evolving network arch…",0.4,0.6
VersatilBPI,IBM Cloud Pak for Security helps security teams more quickly integrate their existing  tools to generate deeper ins… https://t.co/03b1VyFR9C,0.41666666666666663,0.5
CyberSecurityN8,"RT @DataShadow: Cloud technology great for security but poses systemic risks, according to new report https://t.co/wvha1f5EFF #DataPrivacy…",0.4681818181818182,0.6022727272727273
sectest9,"RT @DataShadow: Cloud technology great for security but poses systemic risks, according to new report https://t.co/wvha1f5EFF #DataPrivacy…",0.4681818181818182,0.6022727272727273
vishne0,"RT @DataShadow: Cloud technology great for security but poses systemic risks, according to new report https://t.co/wvha1f5EFF #DataPrivacy…",0.4681818181818182,0.6022727272727273
